date,snowfall_cm,slr,temp_max,temp_min,humidity_avg
1998-11-01,6.60,14.1,-4.5,-8.5,97.8
1998-11-02,1.65,18.4,-7.8,-9.5,96.0
1998-11-03,3.77,19.0,-6.7,-11.5,95.0
1998-11-04,3.55,20.9,-9.0,-12.1,93.8
1998-11-05,1.51,18.9,-8.4,-10.6,95.0
1998-11-06,0.35,17.6,-3.7,-9.3,97.2
1998-11-07,0.00,0,-5.0,-10.5,96.3
1998-11-08,0.00,0,-3.3,-11.1,96.0
1998-11-09,1.69,16.8,-6.7,-7.8,97.0
1998-11-10,1.47,12.4,-2.4,-6.6,99.1
1998-11-11,0.57,11.4,-2.4,-3.3,100.0
1998-11-12,0.83,11.7,-3.4,-7.4,98.8
1998-11-13,0.16,16.0,-6.0,-7.9,97.3
1998-11-14,0.00,0,-6.6,-9.0,96.8
1998-11-15,0.19,18.6,-5.4,-9.4,96.5
1998-11-16,0.00,0,-8.8,-12.5,94.0
1998-11-17,0.00,0,-6.5,-10.8,95.4
1998-11-18,0.15,14.8,-5.6,-7.7,97.4
1998-11-19,0.18,17.7,-8.2,-11.3,94.8
1998-11-20,0.09,17.9,-7.2,-9.7,88.6
1998-11-21,3.05,12.3,0.8,-6.6,98.9
1998-11-22,0.00,0,1.4,-1.2,97.1
1998-11-23,0.12,13.4,-1.3,-5.1,95.4
1998-11-24,0.00,0,-3.2,-5.8,92.3
1998-11-25,0.24,13.0,-1.7,-4.8,89.8
1998-11-26,1.28,12.7,-4.1,-5.2,99.2
1998-11-27,0.13,13.3,-4.4,-8.2,98.6
1998-11-28,0.12,14.3,-5.5,-8.2,98.0
1998-11-29,0.11,11.8,-3.1,-5.4,98.8
1998-11-30,0.00,0,-1.4,-4.1,95.6
1998-12-01,0.00,0,3.9,-3.5,86.8
1998-12-02,0.00,0,5.4,-1.0,78.8
1998-12-03,0.74,10.3,0.1,-6.9,90.8
1998-12-04,0.00,0,-7.4,-11.6,94.6
1998-12-05,0.23,24.1,-11.5,-13.6,91.7
1998-12-06,0.00,0,-13.2,-14.5,90.2
1998-12-07,0.00,0,-0.3,-13.8,76.6
1998-12-08,0.00,0,0.4,-2.5,47.2
1998-12-09,0.00,0,0.7,-3.8,69.2
1998-12-10,0.00,0,0.1,-6.9,83.5
1998-12-11,0.00,0,-5.9,-9.2,87.6
1998-12-12,0.00,0,-1.0,-10.3,83.2
1998-12-13,0.00,0,-0.5,-4.2,82.3
1998-12-14,1.81,11.6,0.0,-4.1,87.4
1998-12-15,0.20,11.8,-0.7,-2.1,80.2
1998-12-16,0.00,0,-0.5,-2.9,82.4
1998-12-17,-1,-1,2.9,-0.6,87.2
1998-12-18,-1,-1,1.1,-2.5,85.2
1998-12-19,1.67,13.3,-2.8,-6.1,89.0
1998-12-20,3.32,17.6,-5.3,-10.2,93.8
1998-12-21,0.00,0,-9.7,-12.3,87.7
1998-12-22,0.00,0,-6.2,-10.9,45.9
1998-12-23,7.25,21.6,-5.9,-12.6,80.7
1998-12-24,0.80,13.8,-4.2,-6.8,94.7
1998-12-25,3.07,10.9,-2.4,-4.9,91.9
1998-12-26,1.02,13.9,-4.4,-8.9,90.0
1998-12-27,9.73,14.4,-4.8,-7.3,97.8
1998-12-28,0.00,0,-4.2,-7.0,96.8
1998-12-29,0.00,0,-3.2,-5.6,85.8
1998-12-30,0.00,0,-1.9,-4.9,86.1
1998-12-31,0.06,10.7,-0.1,-4.5,94.6
1999-01-01,0.54,13.4,-3.3,-6.8,99.1
1999-01-02,0.96,10.9,-1.1,-3.9,100.0
1999-01-03,0.91,12.2,-2.3,-4.0,100.0
1999-01-04,5.05,12.1,-2.9,-4.6,99.9
1999-01-05,0.39,13.0,-4.5,-6.6,98.7
1999-01-06,0.18,18.0,-5.0,-9.5,97.2
1999-01-07,0.46,15.5,-6.1,-8.8,94.9
1999-01-08,0.00,0,-6.8,-8.0,95.4
1999-01-09,0.32,16.0,-6.7,-9.2,95.3
1999-01-10,0.68,16.9,-6.9,-8.1,93.1
1999-01-11,0.00,0,-6.8,-11.8,94.5
1999-01-12,4.27,23.7,-10.7,-14.4,91.4
1999-01-13,6.45,26.9,-13.1,-17.5,89.1
1999-01-14,6.67,27.8,-15.5,-17.5,88.3
1999-01-15,5.99,18.1,-6.7,-15.1,94.0
1999-01-16,8.48,12.1,-1.6,-6.5,98.2
1999-01-17,0.35,11.5,-1.7,-4.9,92.5
1999-01-18,0.11,10.6,-0.9,-5.3,86.0
1999-01-19,1.68,9.3,1.3,-1.8,97.3
1999-01-20,0.19,9.2,1.5,-1.7,87.9
1999-01-21,0.22,11.2,0.5,-3.8,87.0
1999-01-22,0.26,13.2,-3.3,-5.0,80.5
1999-01-23,5.48,13.9,-3.0,-7.5,98.5
1999-01-24,15.53,17.9,-6.2,-16.4,94.0
1999-01-25,7.96,29.5,-16.9,-21.5,85.8
1999-01-26,1.80,30.0,-18.8,-27.1,81.3
1999-01-27,0.00,0,-17.9,-29.9,78.9
1999-01-28,0.23,22.5,-9.9,-17.1,91.5
1999-01-29,0.00,0,-7.5,-10.2,90.8
1999-01-30,0.16,16.1,0.1,-6.9,89.5
1999-01-31,0.00,0,3.7,1.9,85.8
1999-02-01,0.00,0,3.5,1.8,83.0
1999-02-02,0.08,8.2,2.1,-2.9,83.5
1999-02-03,2.08,12.3,-1.4,-4.5,88.6
1999-02-04,5.25,14.1,0.8,-7.3,90.5
1999-02-05,2.94,21.0,-10.1,-16.1,90.3
1999-02-06,1.56,26.1,-10.8,-15.5,90.3
1999-02-07,0.43,21.2,-10.2,-19.7,84.1
1999-02-08,0.00,0,-10.9,-13.4,64.4
1999-02-09,1.57,26.2,-10.0,-17.2,73.5
1999-02-10,0.94,23.4,-9.1,-14.2,75.8
1999-02-11,5.68,14.7,-2.9,-9.1,89.6
1999-02-12,0.00,0,-0.6,-5.5,74.8
1999-02-13,0.00,0,1.3,-2.9,68.0
1999-02-14,0.74,12.4,-1.9,-5.5,81.6
1999-02-15,4.82,12.1,0.0,-6.7,90.2
1999-02-16,2.91,16.8,-6.3,-9.1,82.7
1999-02-17,0.87,18.1,-5.4,-7.5,82.0
1999-02-18,0.00,0,-5.1,-10.9,79.5
1999-02-19,8.32,15.2,-5.6,-9.5,92.3
1999-02-20,0.00,0,-3.2,-10.2,84.2
1999-02-21,2.21,18.6,-5.5,-10.1,93.4
1999-02-22,3.72,15.5,-5.4,-9.1,96.3
1999-02-23,1.08,21.7,-8.9,-12.5,93.3
1999-02-24,0.69,22.7,-7.2,-12.5,74.3
1999-02-25,2.26,19.0,-5.9,-10.8,60.7
1999-02-26,13.68,17.8,-3.3,-9.4,93.5
1999-02-27,12.33,16.3,-2.8,-7.4,92.7
1999-02-28,6.00,13.3,-4.0,-7.1,98.2
1999-03-01,20.05,12.7,-3.2,-5.6,98.9
1999-03-02,4.79,16.8,-6.0,-11.8,95.5
1999-03-03,12.09,24.5,-9.5,-15.5,90.9
1999-03-04,6.99,22.7,-9.3,-14.4,93.2
1999-03-05,11.20,19.7,-7.4,-10.7,94.3
1999-03-06,15.84,18.1,-7.9,-10.2,95.5
1999-03-07,8.34,14.9,-2.8,-8.1,98.7
1999-03-08,0.79,13.6,-3.0,-8.1,98.8
1999-03-09,4.49,20.4,-4.6,-17.4,93.5
1999-03-10,4.16,22.4,-2.4,-15.6,93.6
1999-03-11,1.82,23.1,-9.8,-15.9,92.5
1999-03-12,0.63,21.0,-6.6,-12.5,93.5
1999-03-13,2.21,20.3,-6.2,-11.5,94.3
1999-03-14,3.31,16.7,-6.1,-9.8,96.5
1999-03-15,3.27,15.1,-5.3,-8.6,97.1
1999-03-16,1.66,12.8,-3.2,-5.4,99.3
1999-03-17,0.42,11.8,0.2,-3.6,100.0
1999-03-18,0.45,9.8,0.4,-2.1,99.4
1999-03-19,2.78,9.9,-0.5,-4.2,99.4
1999-03-20,0.08,12.6,-2.8,-8.8,81.1
1999-03-21,2.17,14.4,-4.2,-9.3,85.3
1999-03-22,0.00,0,-3.1,-8.7,73.5
1999-03-23,1.27,15.1,-2.2,-8.3,77.3
1999-03-24,1.11,14.3,-0.8,-6.7,74.2
1999-03-25,1.33,13.2,-0.6,-5.0,90.2
1999-03-26,7.71,10.2,-0.1,-4.2,100.0
1999-03-27,0.31,8.8,2.4,-4.3,94.9
1999-03-28,0.00,0,2.2,-4.1,71.9
1999-03-29,0.64,8.1,2.3,-2.5,92.9
1999-03-30,0.00,0,1.9,-0.7,94.0
1999-03-31,0.00,0,6.4,0.9,62.9
1999-04-01,0.00,0,6.2,0.0,80.1
1999-04-02,0.00,0,4.3,-0.4,70.0
1999-04-03,0.00,0,3.2,-6.9,75.1
1999-04-04,0.00,0,2.6,-5.6,56.3
1999-04-05,-1,-1,6.4,-0.1,63.7
1999-04-06,-1,-1,7.4,0.6,78.4
1999-04-07,0.00,0,3.4,-1.4,91.2
1999-04-08,0.33,7.5,3.5,-0.7,82.2
1999-04-09,-1,-1,8.5,-1.5,72.5
1999-04-10,0.20,10.4,2.2,-2.3,79.0
1999-04-11,7.14,11.0,-1.1,-5.5,99.7
1999-04-12,1.12,14.6,-3.5,-8.4,76.6
1999-04-13,11.45,13.1,-3.0,-7.4,98.8
1999-04-14,9.05,10.1,-1.7,-3.2,100.0
1999-04-15,6.42,10.5,-0.2,-4.3,100.0
1999-04-16,0.08,11.5,1.2,-4.2,87.8
1999-04-17,0.99,10.8,2.8,-2.8,73.1
1999-04-18,3.28,10.3,-2.0,-2.6,100.0
1999-04-19,2.38,9.9,1.2,-2.7,97.9
1999-04-20,0.00,0,1.9,-1.4,94.2
1999-04-21,0.10,9.7,6.7,-2.0,79.8
1999-04-22,0.69,8.7,1.6,-1.5,93.0
1999-04-23,0.00,0,7.1,-0.6,77.2
1999-04-24,0.00,0,7.3,1.8,67.8
1999-04-25,0.00,0,8.5,4.2,61.8
1999-04-26,-1,-1,8.7,4.6,67.9
1999-04-27,-1,-1,7.5,2.4,67.9
1999-04-28,-1,-1,4.5,-3.5,77.7
1999-04-29,5.93,12.0,0.0,-3.7,74.4
1999-04-30,0.52,9.7,-0.7,-3.7,90.6
